hpo_id,hpo_name,categories,ic,A_zebraseek_final_correct_count,A_zebraseek_final_correct_rate,B_initial_pcf_or_gm_correct_final_wrong_count,B_initial_pcf_or_gm_correct_final_wrong_rate,C_no_major_tool_correct_count,C_no_major_tool_correct_rate,max_rate_delta
HP:0000902,Rib fusion,Abnormality of the musculoskeletal system,8.31314979983166,0,0.0,0,0.0,1,0.167,0.167
HP:0001015,Prominent superficial veins,Abnormality of the integument; Abnormality of the cardiovascular system,8.152685127638414,0,0.0,0,0.0,1,0.167,0.167
HP:0005274,Prominent nasal tip,Abnormality of head or neck,8.152685127638414,0,0.0,0,0.0,1,0.167,0.167
HP:0004970,Ascending tubular aorta aneurysm,Abnormality of the cardiovascular system,8.078684546194637,0,0.0,0,0.0,1,0.167,0.167
HP:0003180,Flat acetabular roof,Abnormality of the musculoskeletal system; Abnormality of limbs,8.008295218303239,0,0.0,0,0.0,1,0.167,0.167
HP:0010721,Abnormal hair whorl,Abnormality of the integument,7.974347886379901,0,0.0,0,0.0,1,0.167,0.167
HP:0000475,Broad neck,Abnormality of head or neck,7.941181022444702,0,0.0,0,0.0,1,0.167,0.167
HP:0000410,Mixed hearing impairment,Abnormality of the ear,7.815650140360844,0,0.0,0,0.0,1,0.167,0.167
HP:0005301,Persistent left superior vena cava,Abnormality of the cardiovascular system,7.6726921865188,1,0.1,0,0.0,1,0.167,0.167
HP:0001195,Single umbilical artery,Abnormality of prenatal development or birth; Abnormality of the cardiovascular system,7.5677226269172575,1,0.1,0,0.0,1,0.167,0.167
HP:0003189,Long nose,Abnormality of head or neck,7.5677226269172575,0,0.0,0,0.0,1,0.167,0.167
HP:0002982,Tibial bowing,Abnormality of the musculoskeletal system; Abnormality of limbs,7.517969591720158,0,0.0,0,0.0,1,0.167,0.167
HP:0034295,Reduced cerebral white matter volume,Abnormality of the nervous system,7.356218521723545,1,0.1,0,0.0,1,0.167,0.167
HP:0003186,Inverted nipples,Abnormality of the breast,7.2508655215773175,1,0.1,0,0.0,1,0.167,0.167
HP:0002779,Tracheomalacia,Abnormality of the respiratory system,7.230687639639687,0,0.0,0,0.0,1,0.167,0.167
HP:0000110,Renal dysplasia,Abnormality of the genitourinary system,7.133826100387098,0,0.0,0,0.0,1,0.167,0.167
HP:0001611,Hypernasal speech,Abnormality of the voice,6.877050685024987,0,0.0,0,0.0,1,0.167,0.167
HP:0002948,Vertebral fusion,Abnormality of the musculoskeletal system,6.877050685024987,0,0.0,0,0.0,1,0.167,0.167
HP:0002789,Tachypnea,Abnormality of the respiratory system,6.815650140360844,0,0.0,0,0.0,1,0.167,0.167
HP:0003042,Elbow dislocation,Abnormality of the musculoskeletal system; Abnormality of limbs,6.645725138918531,0,0.0,0,0.0,1,0.167,0.167
HP:0002938,Lumbar hyperlordosis,Abnormality of the musculoskeletal system,6.481749403807405,0,0.0,0,0.0,1,0.167,0.167
HP:0002566,Intestinal malrotation,Abnormality of the digestive system,6.434828356419913,0,0.0,0,0.0,1,0.167,0.167
HP:0001852,Sandal gap,Abnormality of the musculoskeletal system; Abnormality of limbs,6.378244828053544,0,0.0,0,0.0,1,0.167,0.167
HP:0000307,Pointed chin,Abnormality of head or neck,6.24074130430361,0,0.0,0,0.0,1,0.167,0.167
HP:0000465,Webbed neck,Abnormality of head or neck,6.24074130430361,0,0.0,0,0.0,1,0.167,0.167
HP:0004942,Aortic aneurysm,Abnormality of the cardiovascular system,6.230687639639687,0,0.0,0,0.0,1,0.167,0.167
HP:0012469,Infantile spasms,Abnormality of the nervous system,6.124488235807762,0,0.0,0,0.0,1,0.167,0.167
HP:0000448,Prominent nose,Abnormality of head or neck,6.087729685797644,0,0.0,0,0.0,1,0.167,0.167
HP:0002089,Pulmonary hypoplasia,Abnormality of the respiratory system,6.016908348607947,0,0.0,0,0.0,1,0.167,0.167
HP:0100704,Cerebral visual impairment,Abnormality of the eye,5.941181022444702,1,0.1,0,0.0,1,0.167,0.167
HP:0001655,Patent foramen ovale,Abnormality of the cardiovascular system,5.933007090999002,0,0.0,0,0.0,1,0.167,0.167
HP:0001238,Slender finger,Abnormality of the musculoskeletal system; Abnormality of limbs,5.763988020538351,0,0.0,0,0.0,1,0.167,0.167
HP:0000324,Facial asymmetry,Abnormality of head or neck,5.728187299110504,0,0.0,0,0.0,1,0.167,0.167
HP:0033454,Tube feeding,Abnormality of the digestive system,5.6726921865188,0,0.0,0,0.0,1,0.167,0.167
HP:0002788,Recurrent upper respiratory tract infections,Abnormality of head or neck; Abnormality of the respiratory system; Abnormality of the immune system,5.665903020856161,0,0.0,0,0.0,1,0.167,0.167
HP:0000483,Astigmatism,Abnormality of the eye,5.61925292755734,0,0.0,0,0.0,1,0.167,0.167
HP:0045075,Sparse eyebrow,Abnormality of head or neck; Abnormality of the integument,5.574064153791084,0,0.0,0,0.0,1,0.167,0.167
